#----------------------------------------------------------------------------
#
# Project      : Call To Power 2
# File type    : String text file
# Description  : Contains the records localized names (English)
# Id           : $Id:$
#
#----------------------------------------------------------------------------
#
# Disclaimer
#
# THIS FILE IS NOT GENERATED OR SUPPORTED BY ACTIVISION.
#
# This material has been developed at apolyton.net by the Apolyton CtP2 
# Source Code Project. Contact the authors at ctp2source@apolyton.net.
#
#----------------------------------------------------------------------------
#
# Remarks
#
# - This file contains all the localized names of the database records.
#   It contains nothing else.
# - The order of the strings has been synchronized in the English, French, 
#   German, Italian and Spanish version. This has not been done for the 
#   Japanese version, since that file is missing from the CTP2 source 
#   code project.
# - If you add new strings make sure that you add them at the same location
#   in every language version you have.
# - For easy comparison between the languages make sure that the number
#   of lines in each language file version is the same and that also the
#   comments are at the same place.
# - Keep also the indentation the same.
# - You may add comments after the last line of strings that are specific to 
#   one language only.
#
#----------------------------------------------------------------------------
#
# Modifications from the original Activision code:
#
# - Added CityMod2 age concept strings.
# - Added new age strings.
# - Added new city style strings.
# - Moved build list sequence strings from ldl_str.txt and add_str.txt.
#   - Mar. 7th 2005 Martin G¸hmann 
# - Moved risk strings from junk_str.txt. (Aug 31st 2005 Martin G¸hmann)
#
#----------------------------------------------------------------------------

#### ADVANCE STRINGS ####
ADVANCE_TOOLMAKING				"V˝roba N·stroju"
ADVANCE_AGRICULTURE				"ZemedelstvÌ"
ADVANCE_STONE_WORKING				"Kamen· Pr·ce"
ADVANCE_RELIGION				"N·bozenstvÌ"
ADVANCE_WRITING					"PsanÌ"
ADVANCE_SHIP_BUILDING				"Stavba LodÌ"
ADVANCE_BRONZE_WORKING				"Bronzov· Pr·ce"
ADVANCE_JURISPRUDENCE				"Pr·vnÌ Veda"
ADVANCE_BALLISTICS				"Balistika"
ADVANCE_SLAVE_LABOR				"Otrok·rstvÌr"
ADVANCE_MASONRY					"Zednick· Pr·ce"
ADVANCE_DRAMA					"Drama"
ADVANCE_TRADE					"Obchod"
ADVANCE_IRON_WORKING				"ZeleznÈ Pr·ce"
ADVANCE_HORSE_RIDING				"JezdectvÌ"
ADVANCE_PHILOSOPHY				"Filozofie"
ADVANCE_MONARCHY				"Monarchie"
ADVANCE_CONCRETE				"KonkrÈtum"
ADVANCE_ALCHEMY					"Alchymie"
ADVANCE_FEUDALISM				"Feudalismus"
ADVANCE_GEOMETRY				"Geometrie"
ADVANCE_HULL_MAKING				"LodarstvÌ"
ADVANCE_BUREAUCRACY				"Byrokracie"
ADVANCE_AGRICULTURAL_REVOLUTION			"Zemedelsk· Revoluce"
ADVANCE_THEOLOGY				"Teologie"
